id,external_id,name,her_nr,status,source_url
238,2590,GEELY,2590,completed,https://www.irishautoparts.ie
239,4403,GENERIC,4403,completed,https://www.irishautoparts.ie
240,4473,GENESIS,4473,completed,https://www.irishautoparts.ie
241,831,GEO,831,completed,https://www.irishautoparts.ie
242,5244,GEOMETRY,5244,completed,https://www.irishautoparts.ie
243,4657,GERMAN E CARS,4657,completed,https://www.irishautoparts.ie
244,4054,GILERA,4054,completed,https://www.irishautoparts.ie
245,1498,GINETTA,1498,completed,https://www.irishautoparts.ie
246,5209,GIOTTI VICTORIA,5209,completed,https://www.irishautoparts.ie
247,812,GLAS,812,completed,https://www.irishautoparts.ie
248,3697,GLEAGLE,3697,completed,https://www.irishautoparts.ie
249,39,GMC,39,completed,https://www.irishautoparts.ie
250,5208,GME,5208,completed,https://www.irishautoparts.ie
251,3158,GOLDEN DRAGON,3158,completed,https://www.irishautoparts.ie
252,2902,GONOW,2902,completed,https://www.irishautoparts.ie
253,3997,GONOW (GAC),3997,completed,https://www.irishautoparts.ie
254,4752,GOUPIL,4752,completed,https://www.irishautoparts.ie
255,4539,GOVECS,4539,completed,https://www.irishautoparts.ie
256,2903,GREAT WALL,2903,completed,https://www.irishautoparts.ie
257,2926,GRECAV,2926,completed,https://www.irishautoparts.ie
258,4640,GROZ,4640,completed,https://www.irishautoparts.ie
259,5135,GUMPERT,5135,completed,https://www.irishautoparts.ie
260,2866,HAFEI,2866,completed,https://www.irishautoparts.ie
261,3036,HAIMA (FAW),3036,completed,https://www.irishautoparts.ie
262,3913,HAIMA (ZHENGZHOU),3913,completed,https://www.irishautoparts.ie
263,4610,HANTENG,4610,completed,https://www.irishautoparts.ie
264,4055,HARLEY-DAVIDSON,4055,completed,https://www.irishautoparts.ie
265,3968,HAVAL,3968,completed,https://www.irishautoparts.ie
266,3562,HAWTAI,3562,completed,https://www.irishautoparts.ie
267,6208,HENGRUN AUTO,6208,completed,https://www.irishautoparts.ie
268,6162,HENREY AUTOMOBILE,6162,completed,https://www.irishautoparts.ie
